Datei;Ort;Verwendung;Art;Werkzeug;Urheber/Rechte;Datum;Bearbeitung;Nachweis in der Folie
Abb1_Beduerfnispyramide.png;KVdigital 14.2 Folie 3 (Import-PDF);Bedürfnispyramide nach Maslow, Abb. 1;eigene Grafik;Python/PIL (pyramide.py);S. Mollet, HKV Aarau 2026;04.09.2026;–;Abb. 1 Bildunterschrift
Maslow_Hoehlenbewohner_Lascaux.png;KVdigital 14.2 Folie 3 (Import-PDF), Vorlage für maslow-siedlung.jpg;Steinzeitsiedlung mit fünf Stufen, Abb. 2;KI-Bild;ChatGPT (Bildgenerierung);KI-generiert, HKV Aarau 2026;04.09.2026;Beschriftung der Stufen nachträglich gesetzt;Abb. 2 Bildunterschrift
maslow-siedlung.jpg;abu-tools.ch (maslow-bildergeschichte.html, Poster des Videos);Pyramide mit Stufenbeschriftung;KI-Bild, beschriftet;ChatGPT + PIL;KI-generiert, HKV Aarau 2026;04.09.2026;1600 px JPEG;Quellenzeile «Bilder erstellt mit ChatGPT»
maslow-hoehle.webm / maslow-hoehle.mp4;abu-tools.ch (Video hinter der Pyramide);Animation der Siedlung (Feuer, Licht);KI-Animation;KI-generiertes GIF (von Sam geliefert);KI-generiert, HKV Aarau 2026;04.09.2026;GIF → WebM/MP4 (ffmpeg);Quellenzeile
stufe1_1.jpg … stufe1_3.jpg;abu-tools.ch (Bildergeschichte, Stufe 1 Grundbedürfnisse);drei Szenen zu Essen, Trinken, Wärme;KI-Bild;ChatGPT (Bildgenerierung), 15 Serien-Prompts;KI-generiert, HKV Aarau 2026;05.09.2026;1400 px JPEG q82, Gamma-Aufhellung +15 %;Quellenzeile «Bilder erstellt mit ChatGPT»
stufe2_1.jpg … stufe2_3.jpg;abu-tools.ch (Bildergeschichte, Stufe 2 Sicherheit);drei Szenen zu Schutz, Wache, Vorrat;KI-Bild;ChatGPT;KI-generiert, HKV Aarau 2026;05.09.2026;wie oben;Quellenzeile
stufe3_1.jpg … stufe3_3.jpg;abu-tools.ch (Bildergeschichte, Stufe 3 Soziales);drei Szenen zu Gemeinschaft und Zugehörigkeit;KI-Bild;ChatGPT;KI-generiert, HKV Aarau 2026;05.09.2026;wie oben;Quellenzeile
stufe4_1.jpg … stufe4_3.jpg;abu-tools.ch (Bildergeschichte, Stufe 4 Anerkennung);drei Szenen zu Ansehen und Anerkennung;KI-Bild;ChatGPT;KI-generiert, HKV Aarau 2026;05.09.2026;wie oben;Quellenzeile
stufe5_1.jpg … stufe5_3.jpg;abu-tools.ch (Bildergeschichte, Stufe 5 Selbstverwirklichung);drei Szenen zu Höhlenmalerei und Gestalten;KI-Bild;ChatGPT;KI-generiert, HKV Aarau 2026;05.09.2026;wie oben;Quellenzeile
kachel_speer_feuer.png;abu-tools.ch index.html (Kachel «Fünf Stufen, eine Siedlung»);Deko Speer und Feuer;KI-Bild, freigestellt;ChatGPT + PIL (Flood-Fill);KI-generiert, HKV Aarau 2026;05.09.2026;Weiss transparent, 600 px;–
wb01_wasser.jpg … wb10b_seitental.jpg (13 Dateien);abu-tools.ch (wunsch-beduerfnis.html), KVdigital 14.2 Folie 2 per iframe;10 Fälle Existenz-/Wahlbedürfnis;KI-Bild;ChatGPT, Prompts in ABU_APO_Bildprompts_K14-2_Wunsch-Beduerfnis_20260904.md;KI-generiert, HKV Aarau 2026;04.09.2026;1400 px JPEG;Quellenzeile in der Folie
cola_1886_apotheke.jpg;nur KVdigital 14.2 Folie 6 (Bild-Element von Hand), nicht im Repo;Jacobs' Pharmacy Atlanta 1886, Coca-Cola als Apothekengetränk;KI-Bild (historische Szene, kein Foto);ChatGPT;KI-generiert, HKV Aarau 2026;04.09.2026;–;Bildlegende «erstellt mit ChatGPT»
cola_heute_lifestyle.jpg;nur KVdigital 14.2 Folie 6 (Bild-Element von Hand), nicht im Repo;Lifestyle-Szene heute;KI-Bild;ChatGPT;KI-generiert, HKV Aarau 2026;04.09.2026;Markenbezug – nicht ins öffentliche Repo;Bildlegende «erstellt mit ChatGPT»
ton_uebersicht.mp3;abu-tools.ch (Bildergeschichte, Übersicht + Schluss);Musik «Twilight» 0:01–1:01;KI-Musik;ElevenLabs (Music), Prompt mit «Instrumental only»;KI-generiert, Lizenz gemäss ElevenLabs-Abo S. Mollet;05.09.2026;Schnitt, Fade, loudnorm −18 LUFS, MP3 128k;Quellenzeile «Musik mit ElevenLabs»
ton_grund.mp3;abu-tools.ch (Stufe 1);«Harvest» (Schritte/Kulisse) + «First Light» (Musik −4 dB), gemischt;KI-Musik/-Geräusch;ElevenLabs;wie oben;05.09.2026;amix, loudnorm;Quellenzeile
ton_sicherheit.mp3;abu-tools.ch (Stufe 2);«Sanctum» 1:25–2:25;KI-Musik;ElevenLabs;wie oben;05.09.2026;Schnitt, loudnorm;Quellenzeile
ton_sozial.mp3;abu-tools.ch (Stufe 3);«Campfire Embers» 0:33–1:33;KI-Musik;ElevenLabs;wie oben;05.09.2026;Schnitt, loudnorm;Quellenzeile
ton_anerkennung.mp3;abu-tools.ch (Stufe 4);«Charcoal on Stone» 0:00–1:00;KI-Musik;ElevenLabs;wie oben;05.09.2026;Schnitt, loudnorm;Quellenzeile
ton_selbst.mp3;abu-tools.ch (Stufe 5);«Cave Painting» 0:10–1:00;KI-Musik;ElevenLabs;wie oben;05.09.2026;Schnitt, loudnorm;Quellenzeile
